sentence,polarity,category,aspect
نموت علي اكل تونسي محرحر,Positive,FOOD#QUALITY,اكل
شعب هريسه اثبت وجود,Positive,GENERAL,
انا فلسطي بفتخر انو تونس عرب مثلي تحيه لبلد رائع فوق راسي انتو,Positive,GENERAL,
والله اطيب واذكي شعب ومضياف وشعب راقي تونس بوابه اور والله اني مشتاق لبلابي في برد هذا,Positive,GENERAL,
والله هذا شاب تونسي رجال وكريم وطيب و ابن ناس واهله طيب وحبوب وكرماء من مدينه منوره و اتشرف فيهم وبضيافت عندي في بيت واكل و شرب و مواصل من اول ما يوصل الين مغادره وعين لحاف والله,Positive,GENERAL,
كل جزائري يعتبر ان تونس بلاد تاتي و لي هدا كي كانت تونس تعا من ارهاب لقت غير جزائري لي دهب و كلهم لي تونس لي يحسو سياحه و لي يعط ضرص الي ارهابي ان جزائري لا يقبل ان تتعدو علي تونسا,Positive,GENERAL,
اكل تونسي طيب مثل ناس يدخلو قلب كل الحب من جزائر,Positive,GENERAL,
من جزائر والله اعرف تونس من اجمل دول عربيه و عند حضاره تاريخ عمر قيرو قرطاج جامع زيتونه مسجد عقب ابن نافع و سيدي بوسعيد و حمام و سوسا و نابل والله لكان بلاد عربيه احسن من تونس ولا ننسا جربا ملديف عرب,Positive,GENERAL,
اكل تونسي بنين يقتل اعلمت جارتي كريمه طبخ ملوخيه ولا اروع تهبل نموت عليها والله شهيتو بصحت والف تحيه شعب تونسي,Positive,FOOD#QUALITY,اكل
انا من يمن و بعمري ما زرت تونس ولكن اعشق منذ صغر لا اعلم لماذا ولكن حب تونس متوغل في وجد,Positive,GENERAL,
قسم بالله حسيت معدتي اقشعرت ورق قلبي لما شفت موضوع عصب تحياتي لتونس عصب اخو من سور,Positive,GENERAL,
تحيا كبير من مغرب الي تونس لحبيبه والله انا احبك,Positive,GENERAL,
انا جزائري اتف شعورك مع عصب,Positive,GENERAL,
انا من دزاير ونقول احسن جير واقرب لقلوب,Positive,GENERAL,
مولعه حلقه مال اليوم عاشت ايدك وتيحاتي شعب تونسي,Positive,GENERAL,
امنيتي ازور تونس مغرب جزائر وليب واتعرف علي ثقافت وعاد تحياتي من سور,Positive,GENERAL,
لو اكل تونسي ياخذ حظو في انتشار و الله اتراك لا يوصلو ربع لذه او تنوع اكل الله يحمي تونس و شكرا لكل عرب علي كلام طيب سافرت و ذقت كثير صدقو تونس غير,Positive,GENERAL,
صراحه عجب اكل يامي تحياتي من مغرب,Positive,FOOD#QUALITY,اكل
ما شاء الله علي شعب تونسي رائع تحيه لكم من مغربيه,Positive,GENERAL,
شكرا علي زياره بلادي عزيزه حابه اقول للكل هنا انو فيكم تاكلو كل شي من غير هريسه لو ما متعود عليها و طعم يضلو لذيذ صحيح اغلب تونسي ياكل الحر بس في تونسي ما يكلو حر فعرف انو فيكم كمان كل شي تاكل من غير اضافه هريسه,Positive,GENERAL,
تونس من افضل دول سياحيه تنوع كبير امكاني ممتازه معامله راقيه انصح بزيارت والله جوعت يا باسل الله ايفك من كورو اخو من طرابلس قره بوللي ليب,Positive,GENERAL,
هذا شاب تونسي شهم وانا مستعد استضيفه بفلسط من مطار واك مرشده سياحي واوفرله مسكن وكل شيء يحتاجه من اكل وغيره لحين ميغادر,Positive,FOOD#QUALITY,اكل
انا من جزاٸر عاشق ملوخیه تونسیه من زمن طفوله الام تطبخ مولوخیه تونسیه علی طریقه تونسیه و حتی توابل تونسیه و تعلمت علی جده ربی یحفض تحیه من جزاٸر لکل توانسه و مغرب عربی وبلاد مسلمین خاصه فلسطین حبیبه محتله,Positive,FOOD#QUALITY,اكل
انا بعشق تونس واهل تونس لهجه تونسيه اخو من سوريه,Positive,GENERAL,
تحيا من مغرب لاهل تونس كنبغي بزاف,Positive,GENERAL,
صدقو يا اخون افرح كثير من قلب عند اري عائله فيها خير بركه كرم حفظ الله اهل تونس,Positive,GENERAL,
انا من مغرب و باغيه بزاف نجي تونس والله,Positive,GENERAL,
فعلا اكل تونسي عشق لا ينتهي و خاصه كسكسي عصب رهيب و كسكسي حوت ولا اروع نموت علي اكل جرا توانسه تحيه ليكم من جزائر,Positive,FOOD#QUALITY,اكل
زور جزائر اخي,Positive,GENERAL,
عائله محترمه تحيه الكم من سور,Positive,GENERAL,
الي من تونس و جزائر وليب مغرب سعوديه وفلسط قطروالبحر و جميع بلد عرب لايك,Positive,GENERAL,
انا بعشق تونس واهل تونس واكل تونس ربنا يزيد من نعيم الله انا بعمل اكل مصريه وشاطره فيها زورو حبايبي وشجعو استمر,Positive,GENERAL,
انا تونسيه حبيت نشكرك كل انس بحب بلدي او قال كلمه حلوه عنو ٠٠ شكرا فرحتو برشا دموعي عم تنزل لما كنت شوف تعليق لكم الف تحيه,Positive,GENERAL,
تحيه من جزائري لبلدي غالي تونس,Positive,GENERAL,
ورب بيت احب اعيش في تونس بعد بلدي واتم اني ازور تونس,Positive,GENERAL,
تحيه من مصر لحبايب توانسه,Positive,GENERAL,
تحياتي شعب تونسي كريم مضياف من لبن بس شو بل نسبه ناس الي عامله دس لايك١,Positive,GENERAL,
تحيه لبلدي تاني تونس و تحيه لصديقي عبدالكريم عماره من صفاقس لما نكون في تونس نحس نفسي اني في ليب و كاني مش غريب,Positive,GENERAL,
انا عشت في تونس حولي 3 سنو اصغر ابنائي مولود في تونس عاصمه اكل في تونس رائع برشه شعب تونسي من الطف شعوب عربيه شعب راقي جدا كريم ومضياف لهم اجعل تونس بلدا امنا وكافه بلاد مسلم,Positive,GENERAL,
كل عربي يحب تونس يعمل لايك دعما سياحه في تونس,Positive,GENERAL,
احلي ناس توانسه شعب راقي محترم الله يسعد,Positive,GENERAL,
اطيب شعب اهل تونس قمه في ذوق اخلاق اخو من سعوديه,Positive,GENERAL,
انا عجب اخو تونسي متربي ومضياف وناس ملاح هكذا هم تونسي اخو جزائري اخو من جزائر,Positive,GENERAL,
تونس في طعام اكل حضاره باتم معني كلمهجزائري محب,Positive,GENERAL,
انا حال في تونس,Positive,GENERAL,
اقسم بالله اكل تونس غير عادي يهبل,Positive,GENERAL,
الله محيي اخوا توانسه غالي علي قلوب تحياتي لكم اخو من سوريه نحب برشا,Positive,GENERAL,
اللي من تونس يدز جام,Positive,GENERAL,
تعالي عندي جزائر والله اتشرف وعيب انك اترد طلبي اني من متابعينك مرحبا بيك فالجزائر فاي وقت تحيه لناس تونس,Positive,GENERAL,
مشاء الله تونس واهل عنذ مكان كبيره فقلبي تحيه لكم من اخت مغربيه,Positive,GENERAL,
نفسي اشتغل واعيش في تونس بشعق بلد دي من صغري,Positive,GENERAL,
الله يرحم ديك لتونسي لفرح بيه محلاه و تبارك الله عليه افتخر لتونسي الي يعطي صوره باهيه بلاد,Positive,GENERAL,
وانا اشهد توانسه اهل جود كرم وشعب مرحبا كنت بين يوم من ايام تحيه لتونس من امار,Positive,GENERAL,
ماشاء الله علي جارت ربي يحفظ تونس خضراء و جزائر يارب,Positive,GENERAL,
تحيه من جزائر الي جاره تونس و اتم تزور جوائروتذوق اكل,Positive,GENERAL,
انا عمري ما زرت تونس لكن حبيت هالبلد وان شاء الله لازور قريب تحيه لاخو تونسي من اردن بعدي اكل حجه شكله بشهي الله يرزقك جنه يا امي,Positive,GENERAL,
رجل هذا رسم صوره جميله هو وعائلته عن اهل تونس,Positive,GENERAL,
تحيه من سعوديه الي تونس خضراء انا سعوديه كنت في تونس اكل يعجب خصوصا كسكسي ملوخيه عصب روعه انا كنت مو متقبله ملوخيه مطح في بدايه الي ان جربت كذا مره وادمنت حتي في حملي توحمت عليها,Positive,GENERAL,
تحياتي لشعب تونسي وكل عام وان بخير اخو من سعوديه,Positive,GENERAL,
تحيه لتونس من مغرب نحبو برشه برشه,Positive,GENERAL,
الله يخلي ديك يا تونسي احسن حاجه ف فيديو والدك ربنا يخليهولك,Positive,GENERAL,
ما اطيب تونس واهل تحيه من فلسط لاهل في تونس خضراء,Positive,GENERAL,
اجمل شيء فديو تعليق جميله التي تعبر عن محبه بين شعوب عربيه لهم ديم محبه بينا يارب تحيه من عراق الي جميع اخوتي عرب دون استثناء,Positive,GENERAL,
تحياتي من جزائر لي خاوت من فلسط و مغرب و تونس,Positive,GENERAL,
تونسي يدز جام,Positive,GENERAL,
سبح الله كم نعشق هذه شعوب بكل ماتحويه من ثقافه وخلق وجمال يسر ناظر تحيه من يمن لتونس خضراء وشعب عريق وان شاء الله ياتي اليوم الذي ازور ولفتره طويله ليخف هذا شوق,Positive,GENERAL,
انا سوري وافرح لما بشوف ثقاف بلاد عربيه احب واحب اخلاق وحب ضيف تحيه لشعب تونس طيب,Positive,GENERAL,
انا سعودي و من عشاق تونس و اهل تونس و ثقافه تونس و عقل تونسي حتي كنه عربيه تونسيه اعشق فالتحيي تونس,Positive,GENERAL,
اخوا تونسي احب من دون مجامله واحس اخوا عاطفه خرجه من قلب عراقي مر من هنا,Positive,GENERAL,
ما شاءالله تبارك الله اول مره بحياتي اشوف تونس و اكل تونس شكرا لك علي فيديو,Positive,GENERAL,
ياخي انا مدري ليه احب تونس واهل مع اني ما عاشرت ولا زرت بس يدخل قلب,Positive,GENERAL,
برافو ياس ولد تونس انت عملت بميساج لي منجمش سفير تونسي ينجم يعمله والا وزاره سياحه تونس تفتخر بيك وربي يكثر منك ناس يا شباب,Positive,GENERAL,
اه من تونس شعب وثقافه وكل شي ارمو بتونس وانسو تحيه لهذا شعب عظيم من يمن محب لكم,Positive,GENERAL,
936 حسيتك خوفت شويه لما قالك في بيت كانه هيخطفك,Positive,GENERAL,
لك علي عيني تونس واهل تونس وطيبه قلب تونسي واحلي شي حلقه ابتسامه الام تونسيه من قلب حلب الف تحيه فخر وحب اخوه توانسه وانشالله زور هالبلد ان الله كتبل عمر,Positive,GENERAL,
حتا ليب اكل قريب جدا من تونس عند عصب وبراك كسكسي ومنخيه,Positive,GENERAL,
تحيه لتونس توانسه من جزائر اقسم بالله احلي وافضل واوفي جير نحب بزاف,Positive,GENERAL,
ونعم والله من تونس حبيبه محب من سوريه,Positive,GENERAL,
ولك والله احب تونس ناس كتير طيب ونخوه ونفسي ازور عن قريب,Positive,GENERAL,
كتير متواضع وحباب زي مابتقولو تحيه لاخو توانسه نحبو بزاف,Positive,GENERAL,
صحيح عصب عند مره لذيذ واحلي اكل اكلته في تونس,Positive,FOOD#QUALITY,اكل
ربي يباركلك ياس عطيت صوره مزيانه علي تونس,Positive,GENERAL,
الله يصبر كل واحد في غربه توحشت بلادي تونس حبيبه,Positive,GENERAL,
اقوي ملوخيه هي ملوخيه تونسيه,Positive,GENERAL,
مغربي عاشق اكل تونسي فلفل تونسي,Positive,GENERAL,
